exchange,shortName,industryID,industryIDv2,industryIdLevel2,industryIdLevel4,industry,industryEn,establishedYear,noEmployees,noShareholders,foreignPercent,website,stockRating,deltaInWeek,deltaInMonth,deltaInYear,outstandingShare,issueShare,companyType,ticker,status,code,message,traceId
,,,,,,,,,,,,,,,,,,,,,400.0,887999,Bad Request,6ebcbbaa85bb8501
,,,,,,,,,,,,,,,,,,,,,400.0,887999,Bad Request,f7ec642dc6b5624f
,,,,,,,,,,,,,,,,,,,,,400.0,887999,Bad Request,a9cb38d460496215
,,,,,,,,,,,,,,,,,,,,,400.0,887999,Bad Request,9bdbdb4f5613178a
HOSE,Tập đoàn Công nghệ CMC,308.0,9533,9500,9533,Công nghệ Thông tin,Technology,2009,3820.0,1130.0,0.454,http://www.cmc.com.vn,2.2,-0.035,-0.036,0.089,190.0,190.0,CT,CMG,,,,
,,,,,,,,,,,,,,,,,,,,,400.0,887999,Bad Request,08ebdf88f33cf323
,,,,,,,,,,,,,,,,,,,,,400.0,887999,Bad Request,1f17177ae796d3e5
,,,,,,,,,,,,,,,,,,,,,400.0,887999,Bad Request,fbf0bfbd0cbbfdff
,,,,,,,,,,,,,,,,,,,,,400.0,887999,Bad Request,0b3d9e6e2bb9dd54
,,,,,,,,,,,,,,,,,,,,,400.0,887999,Bad Request,b64976f61f4aa38d
,,,,,,,,,,,,,,,,,,,,,400.0,887999,Bad Request,ea8cc6e673db7310
,,,,,,,,,,,,,,,,,,,,,400.0,887999,Bad Request,7f9514205b84cea7
,,,,,,,,,,,,,,,,,,,,,400.0,887999,Bad Request,7184d741d3945827
HOSE,Thương nghiệp Cà Mau,250.0,5373,5300,5373,Bán lẻ,Retail,1980,700.0,644.0,0.0,http://www.tncm.com.vn,2.5,-0.021,-0.045,-0.058,18.2,18.2,CT,CMV,,,,
,,,,,,,,,,,,,,,,,,,,,400.0,887999,Bad Request,6a6d5a8292b6d9ea
,,,,,,,,,,,,,,,,,,,,,400.0,887999,Bad Request,75a75e27206c7592
,,,,,,,,,,,,,,,,,,,,,400.0,887999,Bad Request,d57ec4ae0663c8b3
,,,,,,,,,,,,,,,,,,,,,400.0,887999,Bad Request,52cff69b501cb00c
,,,,,,,,,,,,,,,,,,,,,400.0,887999,Bad Request,247ccb9ea419698b
,,,,,,,,,,,,,,,,,,,,,400.0,887999,Bad Request,f575d7214d7417a0
,,,,,,,,,,,,,,,,,,,,,400.0,887999,Bad Request,c5ccf7570fe3063c
,,,,,,,,,,,,,,,,,,,,,400.0,887999,Bad Request,ab63248191a7678b
,,,,,,,,,,,,,,,,,,,,,400.0,887999,Bad Request,ae740c0b09f6ac35
,,,,,,,,,,,,,,,,,,,,,400.0,887999,Bad Request,6bca74e9a78fa298
HOSE,CAMIMEX Group,217.0,3573,3500,3573,Thực phẩm và đồ uống,Food & Beverage,2006,1272.0,9602.0,0.155,http://www.camimex.com.vn,2.1,-0.002,-0.007,-0.229,101.9,101.9,CT,CMX,,,,
HOSE,CNG Việt Nam,275.0,7573,7500,7573,"Điện, nước & xăng dầu khí đốt",Utilities,2007,278.0,0.0,0.132,https://www.cngvietnam.com,3.1,-0.009,0.015,0.326,35.1,35.1,CT,CNG,,,,
,,,,,,,,,,,,,,,,,,,,,400.0,887999,Bad Request,081ee95ce14756c8
,,,,,,,,,,,,,,,,,,,,,400.0,887999,Bad Request,0c0c544dc7be6974
HOSE,Vật tư Xăng dầu,253.0,5379,5300,5379,Bán lẻ,Retail,2000,481.0,494.0,0.002,http://comeco.vn,2.8,0.044,-0.006,-0.05,14.1,14.1,CT,COM,,,,
,,,,,,,,,,,,,,,,,,,,,400.0,887999,Bad Request,993c8a2e4b858a1b
,,,,,,,,,,,,,,,,,,,,,400.0,887999,Bad Request,5b6e6754f11dbe7a
,,,,,,,,,,,,,,,,,,,,,400.0,887999,Bad Request,0c60a2ed8b89a050
,,,,,,,,,,,,,,,,,,,,,400.0,887999,Bad Request,de7c701af0105508
,,,,,,,,,,,,,,,,,,,,,400.0,887999,Bad Request,697ab450f2454f48
,,,,,,,,,,,,,,,,,,,,,400.0,887999,Bad Request,f370cf2134284316
,,,,,,,,,,,,,,,,,,,,,400.0,887999,Bad Request,fb99b51e310d7a61
,,,,,,,,,,,,,,,,,,,,,400.0,887999,Bad Request,f95f003c0ca0762c
,,,,,,,,,,,,,,,,,,,,,400.0,887999,Bad Request,f66040b7564f7eb1
HOSE,Create Capital Việt Nam,180.0,2353,2300,2353,Xây dựng và Vật liệu,Construction & Materials,2010,30.0,3531.0,0.003,http://createcapital.vn,,0.013,0.138,0.277,30.0,30.0,CT,CRC,,,,
HOSE,Bất động sản Thế Kỷ,336.0,8633,8600,8633,Bất động sản,Real Estate,2001,2737.0,6157.0,0.025,https://cenland.vn,2.1,0.028,0.014,0.048,463.7,463.7,CT,CRE,,,,
HOSE,Tập đoàn Bất động sản CRV,339.0,8637,8600,8637,Bất động sản,Real Estate,,50.0,0.0,,https://www.crvgroup.vn,,,,,672.4,672.4,CT,CRV,,,,
,,,,,,,,,,,,,,,,,,,,,400.0,887999,Bad Request,d7d4c80184b7d28d
,,,,,,,,,,,,,,,,,,,,,400.0,887999,Bad Request,dab4a1c6bd6d5420
,,,,,,,,,,,,,,,,,,,,,400.0,887999,Bad Request,cc257071412d8d6a
,,,,,,,,,,,,,,,,,,,,,400.0,887999,Bad Request,63749274158d4663
,,,,,,,,,,,,,,,,,,,,,400.0,887999,Bad Request,7c137f115646f531
HOSE,Cao su Miền Nam,213.0,3357,3300,3357,Ô tô và phụ tùng,Automobiles & Parts,2006,1900.0,5415.0,0.007,http://www.casumina.com,2.1,-0.036,0.015,-0.226,103.6,103.6,CT,CSM,,,,
,,,,,,,,,,,,,,,,,,,,,,,API rate limit exceeded,
,,,,,,,,,,,,,,,,,,,,,,,API rate limit exceeded,
,,,,,,,,,,,,,,,,,,,,,,,API rate limit exceeded,
,,,,,,,,,,,,,,,,,,,,,,,API rate limit exceeded,
,,,,,,,,,,,,,,,,,,,,,,,API rate limit exceeded,
,,,,,,,,,,,,,,,,,,,,,,,API rate limit exceeded,
,,,,,,,,,,,,,,,,,,,,,,,API rate limit exceeded,
,,,,,,,,,,,,,,,,,,,,,,,API rate limit exceeded,
,,,,,,,,,,,,,,,,,,,,,,,API rate limit exceeded,
,,,,,,,,,,,,,,,,,,,,,,,API rate limit exceeded,
,,,,,,,,,,,,,,,,,,,,,,,API rate limit exceeded,
